"Organization_Name","Country","City","State","ZipCode","Contact","Number_of_teacher","Number_of_student"
"21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY","United States Of America","WESLACO","TX","78596","(956)969-6500",2,
"asd","United States",,"ads","2323",,7,5
"Test school","United States",,"test state","0999",,4,1
"INNER-CITY SCHOOL","","DENVER","CO","80205","3033164533",1,
"ST STEPHEN OF HUNGARY SCHOOL","","NEW YORK","NY","10028","",1,
"ST LUKE LUTHERAN SCHOOL","","SANTA ROSA","CA","95401","",1,
"THE NUEVA SCHOOL","","HILLSBOROUGH","CA","94010","",1,
"CRISTO REY KANSAS CITY","","KANSAS CITY","MO","64111","",1,
"PACKER RIDGE ACADEMY","","LEHIGHTON","PA","18235","",1,
"PHOENIX SCHOOL AT SOUTHWEST SCHOOLS","United States Of America","HOUSTON","TX","77057","(713)784-6345",1,
"Academy for Teaching and Learning","United States Of America","Chester","SC","29706","(803)385-6334",1,
"Baptist Hill High","United States Of America","Hollywood","SC","29449","(843)889-2277",1,
"The Chapin School","USA","","NY","10028","",1,
"Rainbow Nursery","United Kingdom",,"United Kingdom",,,1,
"U. E. Maria Auxiliadora","Venezuela",,"Anzoategui","6016",,1,
"Edtravelsbyross","United States",,"North Carolina","28127",,1,
"Command Secondary School","United States",,"Texas","2199372",,1,
"greg school","United States",,"me","",,1,
"Gem Prep: Pocatello","United States",,"idaho","83202",,1,
"Southwest Covenant Schools","United States",,"Oklahoma","73099",,1,
"Midland Christian School","United States",,"Texas",,,1,
"njit","United States",,"nj",,,1,1
"West Branch Music Department","United States",,"Ohio","44609",,1,
"Bryan ISD","United States",,"TX",,,1,
"Latitude Group Travel ","Australia",,"Victoria ","3205",,1,
"batof","Israel",,"arraba","3081200",,1,
"Bondurant Elementary School","United States",,"Wy",,,1,
"rungsted gymnasium","Denmark",,"sjælland","2960",,1,
"experience school","United States",,"ny",,,1,
"U.S. Olympic and Paralympic Museum","United States",,"CO","80903",,1,
"Project Rousseau","United States",,"NY",,,1,
"College Français Montréal","Canada",,"Québec","H2T2M6",,1,
"gunston school","United States",,"Maryland","21617",,1,2
"the field school","United States",,"washington",,,1,
"Rasco Middle School ","United States",,"Tx","77566",,1,
"River City Science Academy ","United States",,"Florida",,,1,
